Time,Open,High,Low,Close
2026-07-20 16:00:00,4005.21,4013.16,3998.03,4005.98
2026-07-20 17:00:00,4006.13,4019.68,4003.71,4011.18
2026-07-20 18:00:00,4011.25,4018.39,4001.2,4009.92
2026-07-20 19:00:00,4009.98,4012.99,4003.06,4004.88
2026-07-20 20:00:00,4004.96,4011.58,4003.3,4006.84
2026-07-20 21:00:00,4006.91,4017.48,4003.52,4007.08
2026-07-20 22:00:00,4007.13,4009.44,4005.18,4008.14
2026-07-21 00:00:00,4009.49,4010.31,3999.64,4000.25
2026-07-21 01:00:00,4000.49,4010.26,4000.15,4009.73
2026-07-21 02:00:00,4009.79,4026.76,4003.2,4024.64
2026-07-21 03:00:00,4024.74,4035.88,4018.01,4022.44
2026-07-21 04:00:00,4022.51,4045.1,4020.73,4037.84
2026-07-21 05:00:00,4037.66,4051.34,4035.99,4046.29
2026-07-21 06:00:00,4046.49,4050.97,4042.94,4048.76
2026-07-21 07:00:00,4048.81,4067.71,4045.45,4060.6
2026-07-21 08:00:00,4060.9,4083.47,4060.85,4077.62
2026-07-21 09:00:00,4077.84,4080.2,4066.89,4071.33
2026-07-21 10:00:00,4071.34,4072.47,4058.42,4062.91
2026-07-21 11:00:00,4063.07,4069.78,4060.29,4065.3
2026-07-21 12:00:00,4065.27,4070.1,4060.21,4062.96
2026-07-21 13:00:00,4062.94,4063.81,4053.67,4055.91
2026-07-21 14:00:00,4056.03,4065.88,4051.12,4053.85
2026-07-21 15:00:00,4054.19,4061.49,4043.59,4052.57
2026-07-21 16:00:00,4052.56,4073.54,4051.46,4068.03
2026-07-21 17:00:00,4068.0,4082.92,4064.77,4074.37
2026-07-21 18:00:00,4074.22,4078.83,4069.14,4071.36
2026-07-21 19:00:00,4071.56,4072.92,4066.15,4068.85
2026-07-21 20:00:00,4068.66,4086.63,4067.17,4081.72
2026-07-21 21:00:00,4082.14,4085.62,4079.88,4083.87
2026-07-21 22:00:00,4084.04,4086.07,4076.23,4077.39
2026-07-22 00:00:00,4078.93,4084.81,4076.25,4080.41
2026-07-22 01:00:00,4080.4,4082.95,4078.95,4080.47
2026-07-22 02:00:00,4080.76,4102.59,4076.44,4096.75
2026-07-22 03:00:00,4097.26,4123.51,4096.19,4121.26
2026-07-22 04:00:00,4121.5,4130.32,4118.18,4130.02
2026-07-22 05:00:00,4130.01,4141.07,4128.65,4130.48
2026-07-22 06:00:00,4130.49,4131.38,4124.13,4126.43
2026-07-22 07:00:00,4126.39,4133.33,4122.42,4130.84
2026-07-22 08:00:00,4131.05,4135.33,4112.77,4116.49
2026-07-22 09:00:00,4117.16,4122.23,4108.78,4110.19
2026-07-22 10:00:00,4110.82,4119.75,4109.94,4117.81
2026-07-22 11:00:00,4118.05,4122.17,4113.1,4114.69
2026-07-22 12:00:00,4114.96,4121.98,4114.59,4117.0
2026-07-22 13:00:00,4116.92,4123.0,4111.93,4122.3
2026-07-22 14:00:00,4122.55,4133.85,4105.49,4112.53
2026-07-22 15:00:00,4112.92,4155.53,4112.39,4154.72
2026-07-22 16:00:00,4154.85,4163.37,4143.47,4147.8
2026-07-22 17:00:00,4148.15,4165.96,4147.94,4159.27
2026-07-22 18:00:00,4159.42,4159.48,4143.86,4146.24
2026-07-22 19:00:00,4146.66,4147.56,4138.22,4142.34
2026-07-22 20:00:00,4142.48,4142.66,4131.33,4136.04
2026-07-22 21:00:00,4135.95,4137.37,4128.45,4131.07
2026-07-22 22:00:00,4131.2,4137.86,4127.88,4130.08
2026-07-23 00:00:00,4119.76,4128.93,4115.88,4120.88
2026-07-23 01:00:00,4121.02,4134.03,4116.04,4133.16
